timestamp,user,role,ip,status,reason,hour,weekday,risk_score,risk_level,ml_anomaly_score,ml_is_anomaly,alert_severity,is_alert
2025-11-22 23:06:11,alice,user,192.168.1.12,SUCCESS,ok,23,5,25,low,-0.210737719048044,0,low,0
2025-11-20 09:00:11,admin,admin,10.0.0.6,FAIL,unknown_user,9,3,20,low,-0.0540615806914797,0,low,0
2025-11-18 00:52:11,admin,admin,192.168.1.11,FAIL,unknown_user,0,1,45,medium,-0.0248008266311585,0,medium,1
2025-11-24 21:24:11,bob,user,192.168.1.10,SUCCESS,ok,21,0,25,low,-0.155940019070447,0,low,0
2025-11-17 15:35:11,charlie,user,192.168.1.10,SUCCESS,ok,15,0,0,low,-0.1847042345204167,0,low,0
2025-11-21 03:33:11,bob,user,10.0.0.6,SUCCESS,ok,3,4,0,low,-0.1772652853856316,0,low,0
2025-11-23 02:02:11,admin,admin,10.0.0.6,SUCCESS,ok,2,6,20,low,-0.1646518821466285,0,low,0
2025-11-20 16:03:11,admin,admin,8.8.8.8,SUCCESS,ok,16,3,20,low,-0.0492415420395134,0,low,0
2025-11-20 00:53:11,bob,user,192.168.1.12,SUCCESS,ok,0,3,25,low,-0.2085724844518681,0,low,0
2025-11-21 23:29:11,admin,admin,203.0.113.10,SUCCESS,ok,23,4,45,medium,-0.0508526184070352,0,medium,1
2025-11-24 21:35:11,alice,user,192.168.1.10,SUCCESS,ok,21,0,0,low,-0.1599057075019787,0,low,0
2025-11-18 20:24:11,alice,user,192.168.1.11,SUCCESS,ok,20,1,0,low,-0.1903998336914906,0,low,0
2025-11-21 12:39:11,admin,admin,192.168.1.10,SUCCESS,ok,12,4,20,low,-0.1409960276123522,0,low,0
2025-11-23 11:34:11,alice,user,192.168.1.10,SUCCESS,ok,11,6,0,low,-0.1940759346951094,0,low,0
2025-11-17 14:35:11,bob,user,192.168.1.11,SUCCESS,ok,14,0,0,low,-0.2017489874075115,0,low,0
2025-11-20 14:12:11,charlie,user,192.168.1.12,SUCCESS,ok,14,3,0,low,-0.2017489874075115,0,low,0
2025-11-18 00:21:11,admin,admin,10.0.0.5,SUCCESS,ok,0,1,45,medium,-0.1018481061794168,0,medium,1
2025-11-21 00:01:11,alice,user,8.8.8.8,SUCCESS,ok,0,4,25,low,-0.1197445248886439,0,low,0
2025-11-24 14:20:11,alice,user,198.51.100.3,SUCCESS,ok,14,0,0,low,-0.0946327607023378,0,low,0
2025-11-23 13:41:11,alice,user,51.89.23.14,SUCCESS,ok,13,6,0,low,-0.1024766845181114,0,low,0
2025-11-19 14:04:11,alice,user,192.168.1.11,SUCCESS,ok,14,2,0,low,-0.2017489874075115,0,low,0
2025-11-19 01:43:11,admin,admin,10.0.0.5,SUCCESS,ok,1,2,45,medium,-0.1016688144665949,0,medium,1
2025-11-21 14:29:11,admin,admin,10.0.0.6,SUCCESS,ok,14,4,20,low,-0.1412198078803441,0,low,0
2025-11-16 22:00:11,admin,admin,192.168.1.11,FAIL,bad_password,22,6,45,medium,-0.0305963757324193,0,medium,1
2025-11-17 07:23:11,alice,user,8.8.8.8,SUCCESS,ok,7,0,0,low,-0.1065430580013867,0,low,0
2025-11-24 01:52:11,alice,user,10.0.0.5,FAIL,bad_password,1,0,25,low,-0.0644698246799561,0,low,0
2025-11-20 07:20:11,alice,user,10.0.0.5,SUCCESS,ok,7,3,0,low,-0.1968515695316872,0,low,0
2025-11-18 00:34:11,admin,admin,192.168.1.11,SUCCESS,ok,0,1,45,medium,-0.1018481061794168,0,medium,1
2025-11-18 15:33:11,alice,user,192.168.1.10,FAIL,bad_password,15,1,0,low,-0.0645989211432453,0,low,0
2025-11-22 13:49:11,admin,admin,8.8.8.8,SUCCESS,ok,13,5,20,low,-0.0681763832264003,0,low,0
2025-11-23 23:36:11,charlie,user,10.0.0.6,FAIL,bad_password,23,6,25,low,-0.0753628389876421,0,low,0
2025-11-17 16:19:11,charlie,user,10.0.0.5,SUCCESS,ok,16,0,0,low,-0.1814512727291738,0,low,0
2025-11-21 05:12:11,alice,user,10.0.0.5,SUCCESS,ok,5,4,0,low,-0.1972848489224268,0,low,0
2025-11-18 12:15:11,bob,user,192.168.1.10,SUCCESS,ok,12,1,0,low,-0.1965609958804119,0,low,0
2025-11-18 10:28:11,admin,admin,192.168.1.11,SUCCESS,ok,10,1,20,low,-0.1387785253249124,0,low,0
